"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
"A1"	"B3"	"C2"	"D8"	"E0"	"F5"	"G1"	"H3"	"I7"	"J0"	"K2"	"L1"
"A1"	"B2"	"C2"	"D8"	"E1"	"F4"	"G1"	"H4"	"I6"	"J2"	"K2"	"L0"
"A1"	"B2"	"C2"	"D8"	"E0"	"F4"	"G2"	"H4"	"I3"	"J2"	"K4"	"L4"
"A1"	"B3"	"C3"	"D3"	"E2"	"F3"	"G2"	"H4"	"I5"	"J2"	"K2"	"L2"
"A1"	"B4"	"C2"	"D10"	"E1"	"F4"	"G1"	"H4"	"I7"	"J1"	"K2"	"L2"
"A1"	"B2"	"C1"	"D5"	"E0"	"F5"	"G0"	"H5"	"I0"	"J6"	"K3"	"L3"
"A2"	"B3"	"C2"	"D9"	"E2"	"F2"	"G0"	"H5"	"I7"	"J2"	"K0"	"L0"
"A1"	"B2"	"C3"	"D8"	"E0"	"F7"	"G0"	"H2"	"I7"	"J2"	"K0"	"L0"
"A1"	"B2"	"C4"	"D8"	"E0"	"F1"	"G3"	"H6"	"I6"	"J0"	"K3"	"L3"
"A2"	"B3"	"C3"	"D3"	"E3"	"F5"	"G0"	"H2"	"I7"	"J0"	"K2"	"L2"
"A1"	"B4"	"C3"	"D3"	"E1"	"F4"	"G1"	"H4"	"I7"	"J1"	"K2"	"L0"
"A1"	"B3"	"C3"	"D3"	"E1"	"F3"	"G2"	"H4"	"I7"	"J1"	"K2"	"L2"
"A1"	"B2"	"C3"	"D8"	"E1"	"F4"	"G1"	"H4"	"I6"	"J2"	"K3"	"L3"
"A1"	"B3"	"C3"	"D10"	"E0"	"F5"	"G0"	"H4"	"I7"	"J1"	"K1"	"L1"
"A1"	"B1"	"C2"	"D5"	"E0"	"F6"	"G1"	"H2"	"I1"	"J2"	"K6"	"L5"
"A1"	"B2"	"C3"	"D8"	"E0"	"F7"	"G0"	"H2"	"I7"	"J2"	"K0"	"L0"
"A1"	"B2"	"C3"	"D9"	"E0"	"F6"	"G0"	"H3"	"I7"	"J0"	"K2"	"L0"
"A2"	"B3"	"C3"	"D5"	"E0"	"F5"	"G0"	"H4"	"I7"	"J0"	"K2"	"L0"
